code_point	char	name	readings	jibo	jibo_code_point
U+1B102	𛄂	HENTAIGANA LETTER RO-1	ろ	呂	U+5442
U+1B103	𛄃	HENTAIGANA LETTER RO-2	ろ	呂	U+5442
U+1B104	𛄄	HENTAIGANA LETTER RO-3	ろ	婁	U+5A41
U+1B105	𛄅	HENTAIGANA LETTER RO-4	ろ	樓	U+6A13
U+1B106	𛄆	HENTAIGANA LETTER RO-5	ろ	路	U+8DEF
U+1B107	𛄇	HENTAIGANA LETTER RO-6	ろ	露	U+9732
U+1B108	𛄈	HENTAIGANA LETTER WA-1	わ	倭	U+502D
U+1B109	𛄉	HENTAIGANA LETTER WA-2	わ	和	U+548C
U+1B10A	𛄊	HENTAIGANA LETTER WA-3	わ	和	U+548C
U+1B10B	𛄋	HENTAIGANA LETTER WA-4	わ	王	U+738B
U+1B10C	𛄌	HENTAIGANA LETTER WA-5	わ	王	U+738B
U+1B10D	𛄍	HENTAIGANA LETTER WI-1	ゐ	井	U+4E95
U+1B10E	𛄎	HENTAIGANA LETTER WI-2	ゐ	井	U+4E95
U+1B10F	𛄏	HENTAIGANA LETTER WI-3	ゐ	居	U+5C45
U+1B110	𛄐	HENTAIGANA LETTER WI-4	ゐ	爲	U+7232
U+1B111	𛄑	HENTAIGANA LETTER WI-5	ゐ	遺	U+907A
U+1B112	𛄒	HENTAIGANA LETTER WE-1	ゑ	惠	U+60E0
U+1B113	𛄓	HENTAIGANA LETTER WE-2	ゑ	衞	U+885E
U+1B114	𛄔	HENTAIGANA LETTER WE-3	ゑ	衞	U+885E
U+1B115	𛄕	HENTAIGANA LETTER WE-4	ゑ	衞	U+885E
U+1B116	𛄖	HENTAIGANA LETTER WO-1	を	乎	U+4E4E
U+1B117	𛄗	HENTAIGANA LETTER WO-2	を	乎	U+4E4E
U+1B118	𛄘	HENTAIGANA LETTER WO-3	を	尾	U+5C3E
U+1B119	𛄙	HENTAIGANA LETTER WO-4	を	緒	U+7DD2
U+1B11A	𛄚	HENTAIGANA LETTER WO-5	を	越	U+8D8A
U+1B11B	𛄛	HENTAIGANA LETTER WO-6	を	遠	U+9060
U+1B11C	𛄜	HENTAIGANA LETTER WO-7	を	遠	U+9060
U+1B11D	𛄝	HENTAIGANA LETTER N-MU-MO-1	ん/む/も	无	U+65E0
U+1B11E	𛄞	HENTAIGANA LETTER N-MU-MO-2	ん/む/も	无	U+65E0
U+1B11F	𛄟	HIRAGANA LETTER ARCHAIC WU	𛄟	汙	U+6C59
